Betreiber;Straße;Hausnummer;Adresszusatz;Postleitzahl;Ort;Bundesland;Kreis/kreisfreie Stadt;Breitengrad;Längengrad;Inbetriebnahmedatum;Anschlussleistung;Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4
LANXESS Deutschland GmbH;Kennedyplatz;1;;50569;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,937417;6,97069;22.07.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
LANXESS Deutschland GmbH;Kennedyplatz;1;;50569;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,937417;6,97069;22.07.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
LANXESS Deutschland GmbH;Kennedyplatz;1;;50569;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,937417;6,97069;22.07.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
LANXESS Deutschland GmbH;Kennedyplatz;1;;50569;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,937417;6,97069;22.07.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Johannisstraße;74;;50667;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,94498;6,960778;08.12.20;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Ludwigsstraße;1;;50667;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,937607;6,955156;04.09.18;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
Rheinenergie AG;Ludwigsstraße;1;;50667;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,937607;6,955156;12.12.20;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
Kreissparkasse Köln;Neumarkt;18-24;;50667;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9368728;6,9465494;23.04.21;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;3059301306072a8648ce3d020106082a8648ce3d0301070342000402150126accf2d9679809d7d1d1915c440406498b7e4cab8b2e6be41b7d1efbed6c815b023a191a07740c635f0793e360e24dc5c1cf7ababbcf50cc8543989b4;;;;;;;;;
Kreissparkasse Köln;Neumarkt;18-24;;50667;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9368728;6,9465494;23.04.21;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;3059301306072a8648ce3d020106082a8648ce3d03010703420004abe33e79aa27e2cb41afa8af09dabd600fc377ef6c871accd94040ff9bd2e6213c1dfa1b6a2517bc70baa2c6597505c7a2455d9011e73b425acb196fe02c65db;;;;;;;;;
Kreissparkasse Köln;Neumarkt;18-24;;50667;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9368728;6,9465494;23.04.21;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;3059301306072a8648ce3d020106082a8648ce3d03010703420004da847e2b229cddaa84bc1d999d49559d97e6d09436a8a0dabc24b251cb396ecf537d4bbdc7770f4f246a49037ce3fddbbc9227f2aa40fc31e8cf071f5b6577f6;;;;;;;;;
Kreissparkasse Köln;Neumarkt;18-24;;50667;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9368728;6,9465494;23.04.21;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;3059301306072a8648ce3d020106082a8648ce3d030107034200049d720390e2b7eebee71af18d5a1e45112db065c0fc38295f2b5b4b996bb4f9a94c58b84e99695a835b81a9e4d1de6fe0a222071602432524927c85f3ce44f7de;;;;;;;;;
Kreissparkasse Köln;Neumarkt;18-24;;50667;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9368728;6,9465494;23.04.21;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;3059301306072a8648ce3d020106082a8648ce3d030107034200045804688a7cecf3af053e68ad81ae7cf71611e44380fe8b8643759a5e1fb5f58a0bd283333fae3614de20360b021feb672c4d193c935991b8c74b1c2f05992a7e;;;;;;;;;
Kreissparkasse Köln;Neumarkt;18-24;;50667;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9368728;6,9465494;23.04.21;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;3059301306072a8648ce3d020106082a8648ce3d03010703420004ca8dbf363c38f3cda8a5b5451b45d8636418e5c61a8bd70f891e1218faa7356031e3b294a69aeaa940f5eeb43a188efddc695f2be453d70f82f541c7f6cb4425;;;;;;;;;
Rheinenergie AG;Johannisstraße;76-80;;50668;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,944661;6,96153;16.05.14;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;11;;AC Steckdose Typ 2, AC Schuko;11;;;;;;;
Rheinenergie AG;Kardinal-Frings-Straße;1-3;;50668;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,944306;6,952838;26.11.19;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
Rheinenergie AG;Kardinal-Frings-Straße;1-3;;50668;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,944306;6,952838;26.11.19;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
Rheinenergie AG;Kardinal-Frings-Straße;1-3;;50668;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,944306;6,952838;26.11.19;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
Rheinenergie AG;Kardinal-Frings-Straße;1-3;;50668;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,944306;6,952838;26.11.19;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
Rheinenergie AG;Riehler Platz;1;;50668;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,954988;6,966254;18.12.20;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Riehler Straße;31;;50668;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,952666;6,961192;19.11.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Neusser Wall;50;;50668;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9562;6,96723;07.10.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Hansaring;89;;50670;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,948236;6,950133;27.10.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Erftstraße;19;;50672;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,945892;6,941821;21.12.20;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
Rheinenergie AG;Erftstraße;19;;50672;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,945892;6,941821;21.12.20;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
Rheinenergie AG;Erftstraße;19;;50672;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,945892;6,941821;21.12.20;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
Rheinenergie AG;Kreutzerstraße;4;;50672;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,943959;6,929286;05.02.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Neue Maastrichter Straße ;6;;50672;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,939253;6,934088;27.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Moselstraße;74;;50674;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,92814;6,93723;16.11.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Agrippastraße;45;;50676;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,933123;6,9523;09.11.17;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Lungengasse;40;ggü.;50676;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,934986;6,946149;27.06.13;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
